"Ref"         "H0"    "OmegaM"  "OmegaL"  "OmegaR"      "Sigma8"
"737"         70.0    0.300     0.700     NaN           NaN
"137"         100.0   0.300     0.700     NaN           NaN
"planck"      68.4    0.301     0.699     8.985075e-05  0.793
"planck18"    68.4    0.301     0.699     8.985075e-05  0.793
"planck15"    67.8    0.308     0.692     9.150327e-05  0.815
"planck13"    67.3    0.315     0.685     9.289295e-05  0.829
"wmap"        69.7    0.288     0.712     8.780488e-05  0.817
"wmap9"       69.7    0.288     0.712     8.780488e-05  0.817
"wmap7"       70.4    0.275     0.725     8.569648e-05  0.816
"wmap5"       70.5    0.274     0.726     8.45679e-05   0.812
"wmap3"       70.4    0.268     0.732     NaN           0.776
"wmap1"       72.0    0.290     0.710     NaN           0.900
"millennium"  73.0    0.250     0.750     NaN           0.900
"gigglez"     70.5    0.273     0.727     NaN           0.812
